m.z,mode,p.value,t.score
329.08692,negative,0.973742533,0.11
329.17594,negative,0.837917845,-1.37
330.2035,negative,3.06E-08,5.95
331.12598,negative,1.86E-05,5.48
664.11742,negative,0.003392646,-1.17
350.13562,negative,1.13E-12,7.43
332.18279,negative,3.34E-09,6.54
333.05926,negative,0.00049067,-0.72
333.09154,negative,0.229629505,-0.2
333.10521,negative,0.000344284,3.24
334.10787,negative,2.77E-13,6.08
334.12563,negative,2.65E-08,4.32
334.17729,negative,1.96E-06,4.91
338.98866,negative,0.000204166,-0.87
339.32673,negative,0.975885279,0.52
341.10885,negative,0.001554924,-1.59
341.30611,negative,0.009065863,0.8
343.3217,negative,0.993260683,0.03
345.14148,negative,4.26E-11,4.31
345.14145,negative,6.42E-14,4.91
345.14154,negative,6.40E-05,1.4
345.14146,negative,1.84E-10,4.07
346.05571,negative,0.00068178,-0.77
346.07134,negative,0.516170318,-0.38
347.10298,negative,0.430753388,-0.3
347.12075,negative,1.73E-06,4.18
348.087,negative,0.113267365,-0.46
349.12027,negative,0.111988168,0.07
350.06214,negative,0.002708414,-0.63
352.11495,negative,3.34E-11,5.06
355.09315,negative,0.210640704,-0.28
355.12589,negative,4.80E-08,4.15
356.09212,negative,0.609787858,0.95
358.12541,negative,5.52E-06,2.21
359.12484,negative,0.249203432,-0.18
360.17753,negative,1.94E-06,7.07
361.00708,negative,0.698490217,-0.65
361.13644,negative,2.25E-05,4.9
362.05066,negative,0.121485659,-0.42
364.08196,negative,0.990716615,0.2
365.11522,negative,0.000167511,-1.28
365.34236,negative,0.025631589,0.59
