Query.Mass,Matched.Compound,Matched.Form,Mass.Diff,Pathway.Name,Pathway.ID,Pathway.Compound.Total,Pathway.Match.By,Matched.Compound.Name,p.value,t.score,pos_inx,Feature.ID
175.11894,C00062,M+H [1+],3.59999999943739e-05,Arginine biosynthesis,"",14,Matched.Compound,L-Arginine,0.209374376,-0.18,TRUE,175.11894
188.05644,C00624,M-H [1-],1.59999999880256e-05,Arginine biosynthesis,"",14,Matched.Compound,N-Acetyl-L-glutamic acid,0.04595856,0.32,FALSE,188.05644
289.11539,C03406,M-H [1-],6.60000000038963e-05,Arginine biosynthesis,"",14,Matched.Compound,Argininosuccinic acid,6.44e-14,6.53,FALSE,289.11539
291.12996,C03406,M+H [1+],8.40000000152941e-05,Arginine biosynthesis,"",14,Matched.Compound,Argininosuccinic acid,8.42e-11,5.15,TRUE,291.12996
179.0561,C00137,M-H [1-],2.4000000024671e-05,Ascorbate and aldarate metabolism,"",8,Matched.Compound,myo-Inositol,0.000937791,-0.7,FALSE,179.0561
179.05612,C00137,M-H [1-],4.00000001832268e-06,Ascorbate and aldarate metabolism,"",8,Matched.Compound,myo-Inositol,0.889987221,0.06,FALSE,179.05612
191.01972,C00818,M-H2O-H [1-],0.000510000000019772,Ascorbate and aldarate metabolism,"",8,Matched.Compound,Glucaric acid,0.002958972,-0.72,FALSE,191.01972
191.01973,C00818,M-H2O-H [1-],0.000520000000022947,Ascorbate and aldarate metabolism,"",8,Matched.Compound,Glucaric acid,0.292059975,-0.57,FALSE,191.01973
195.05101,C00800,M-H [1-],1.40000000214968e-05,Ascorbate and aldarate metabolism,"",8,Matched.Compound,Gulonic acid,0.000640493,-0.68,FALSE,195.05101
195.05102,C00800,M-H [1-],4.00000001832268e-06,Ascorbate and aldarate metabolism,"",8,Matched.Compound,Gulonic acid,0.00077029,-0.86,FALSE,195.05102
565.04754,C00029,M-H [1-],0.000183999999876505,Ascorbate and aldarate metabolism,"",8,Matched.Compound,Uridine diphosphate glucose,0.006365154,-0.39,FALSE,565.04754
579.02681,C00167,M-H [1-],0.000214000000028136,Ascorbate and aldarate metabolism,"",8,Matched.Compound,Uridine diphosphate glucuronic acid,0.005318042,-0.83,FALSE,579.02681
111.02001,C00106,M-H [1-],1.39999999930751e-05,beta-Alanine metabolism,"",21,Matched.Compound,Uracil,0.725933627,-0.12,FALSE,111.02001
131.04623,C02642,M-H [1-],5.99999998485146e-06,beta-Alanine metabolism,"",21,Matched.Compound,Ureidopropionic acid,0.139935869,-0.11,FALSE,131.04623
132.03023,C00049,M-H [1-],5.99999998485146e-06,beta-Alanine metabolism,"",21,Matched.Compound,L-Aspartic acid,0.005455575,-0.61,FALSE,132.03023
154.06221,C00135,M-H [1-],1.40000000214968e-05,beta-Alanine metabolism,"",21,Matched.Compound,Histidine,0.819565635,0.2,FALSE,154.06221
227.1139,C00386,M+H [1+],2.4000000024671e-05,beta-Alanine metabolism,"",21,Matched.Compound,Carnosine,0.108226847,-0.32,TRUE,227.1139
808.11823,C00024,M-H [1-],0.000293999999939842,beta-Alanine metabolism,"",21,Matched.Compound,Acetyl-CoA,0.002146583,-0.66,FALSE,808.11823
87.00877,C00222,M-H [1-],4.5999999997548e-05,beta-Alanine metabolism,"",21,Matched.Compound,Malonic semialdehyde,0.18021595,-0.15,FALSE,87.00877
89.02442,C01013,M-H [1-],3.99999998990097e-06,beta-Alanine metabolism,"",21,Matched.Compound,Hydroxypropionic acid,0.015748409,-0.44,FALSE,89.02442
90.05493,C00099,M+H [1+],4.60000000117589e-05,beta-Alanine metabolism,"",21,Matched.Compound,beta-Alanine,0.0162134,-0.31,TRUE,90.05493
90.05495,C00099,M+H [1+],2.60000000054106e-05,beta-Alanine metabolism,"",21,Matched.Compound,beta-Alanine,1.73e-06,-0.63,TRUE,90.05495
255.23295,C00249,M-H [1-],2.5999999962778e-05,Biosynthesis of unsaturated fatty acids,"",36,Matched.Compound,Palmitic acid,0.850577182,0.45,FALSE,255.23295
279.23295,C01595,M-H [1-],2.59999999911997e-05,Biosynthesis of unsaturated fatty acids,"",36,Matched.Compound,Linoleic acid,0.793829711,0.83,FALSE,279.23295
281.2486,C00712,M-H [1-],2.39999999962492e-05,Biosynthesis of unsaturated fatty acids,"",36,Matched.Compound,Oleic acid,0.888111225,0.53,FALSE,281.2486
283.26422,C01530,M-H [1-],3.99999998990097e-06,Biosynthesis of unsaturated fatty acids,"",36,Matched.Compound,Stearic acid,0.832517065,0.67,FALSE,283.26422
243.0809,C00120,M-H [1-],2.39999999962492e-05,Biotin metabolism,"",4,Matched.Compound,Biotin,0.021611995,-0.34,FALSE,243.0809
104.07061,C00334,M+H [1+],3.39999999994234e-05,Butanoate metabolism,"",15,Matched.Compound,gamma-Aminobutyric acid,0.000735898,-0.34,TRUE,104.07061
145.01429,C00026,M-H [1-],6.59999999754746e-05,Butanoate metabolism,"",15,Matched.Compound,Oxoglutaric acid,3.65e-05,-0.73,FALSE,145.01429
146.04588,C00025,M-H [1-],4.40000000025975e-05,Butanoate metabolism,"",15,Matched.Compound,Glutamic acid,4.78e-07,2.79,FALSE,146.04588
147.02987,C02630,M-H [1-],5.40000000341934e-05,Butanoate metabolism,"",15,Matched.Compound,2-Hydroxyglutarate,0.001849281,-0.56,FALSE,147.02987
148.06045,C00025,M+H [1+],2.59999999911997e-05,Butanoate metabolism,"",15,Matched.Compound,Glutamic acid,9.56e-05,-0.55,TRUE,148.06045
808.11823,C00024,M-H [1-],0.000293999999939842,Butanoate metabolism,"",15,Matched.Compound,Acetyl-CoA,0.002146583,-0.66,FALSE,808.11823
836.14989,C00136,M-H [1-],6.60000000607397e-05,Butanoate metabolism,"",15,Matched.Compound,Butyryl-CoA,0.157334428,-0.26,FALSE,836.14989
86.06002,C00334,M-H2O+H [1+],4.35332299986158e-05,Butanoate metabolism,"",15,Matched.Compound,gamma-Aminobutyric acid,0.837278259,-0.25,TRUE,86.06002
133.01426,C00149,M-H [1-],3.59999999943739e-05,Citrate cycle (TCA cycle),"",16,Matched.Compound,Malic acid,0.009456962,-0.36,FALSE,133.01426
145.01429,C00026,M-H [1-],6.59999999754746e-05,Citrate cycle (TCA cycle),"",16,Matched.Compound,Oxoglutaric acid,3.65e-05,-0.73,FALSE,145.01429
166.97508,C00074,M-H [1-],4.40000000310192e-05,Citrate cycle (TCA cycle),"",16,Matched.Compound,Phosphoenolpyruvic acid,0.553113456,-0.21,FALSE,166.97508
173.00915,C00417,M-H [1-],2.59999999911997e-05,Citrate cycle (TCA cycle),"",16,Matched.Compound,cis-Aconitic acid,0.001243577,-1.07,FALSE,173.00915
191.01972,C00311,M-H [1-],3.99999998990097e-06,Citrate cycle (TCA cycle),"",16,Matched.Compound,Isocitric acid,0.002958972,-0.72,FALSE,191.01972
191.01972,C00158,M-H [1-],3.99999998990097e-06,Citrate cycle (TCA cycle),"",16,Matched.Compound,Citric acid,0.002958972,-0.72,FALSE,191.01972
191.01973,C00311,M-H [1-],6.00000001327317e-06,Citrate cycle (TCA cycle),"",16,Matched.Compound,Isocitric acid,0.292059975,-0.57,FALSE,191.01973
191.01973,C00158,M-H [1-],6.00000001327317e-06,Citrate cycle (TCA cycle),"",16,Matched.Compound,Citric acid,0.292059975,-0.57,FALSE,191.01973
808.11823,C00024,M-H [1-],0.000293999999939842,Citrate cycle (TCA cycle),"",16,Matched.Compound,Acetyl-CoA,0.002146583,-0.66,FALSE,808.11823
