Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
89.02442,C01013,M-H [1-],3.99999998990097e-06
89.02442,C00186,M-H [1-],3.99999998990097e-06
89.02442,C00184,M-H [1-],3.99999998990097e-06
175.03603,C00438,M-H [1-],6.00000001327317e-06
505.98827,C00286,M-H [1-],0.000154000000009091
784.1499,C00016,M-H [1-],7.60000000354921e-05
300.04899,C04501,M-H [1-],3.40000000278451e-05
300.04899,C06376,M-H [1-],3.40000000278451e-05
300.04899,C00357,M-H [1-],3.40000000278451e-05
300.04899,C04256,M-H [1-],3.40000000278451e-05
300.04899,C04257,M-H [1-],3.40000000278451e-05
402.99482,C00015,M-H [1-],0.000104000000021642
334.12563,C04540,M-H [1-],5.99999998485146e-06
87.00877,C00022,M-H [1-],4.5999999997548e-05
87.00877,C00222,M-H [1-],4.5999999997548e-05
480.98195,C00459,M-H [1-],7.40000000405416e-05
205.03536,C04593,M-H [1-],6.40000000089458e-05
205.03536,C02225,M-H [1-],6.40000000089458e-05
445.36875,CE5022,M-H [1-],1.89999999520296e-05
445.36875,CE5835,M-H [1-],1.89999999520296e-05
445.36875,CE5842,M-H [1-],1.89999999520296e-05
426.02206,C00054,M-H [1-],6.40000000089458e-05
426.02206,C00361,M-H [1-],6.40000000089458e-05
521.98338,C00044,M-H [1-],4.39999998889107e-05
521.98338,C05922,M-H2O-H [1-],0.00056999999992513
78.91887,C13645,M-H [1-],5.39999999915608e-05
348.087,C14871,M-H [1-],0.000124000000027991
362.05066,C00144,M-H [1-],6.40000000089458e-05
195.05101,C00257,M-H [1-],1.40000000214968e-05
195.05101,C00800,M-H [1-],1.40000000214968e-05
239.23805,C00517,M-H [1-],2.59999999911997e-05
323.02862,C00105,M-H [1-],4.00000004674439e-06
323.02862,C01368,M-H [1-],4.00000004674439e-06
178.05096,CE5536,M-H [1-],7.00000001074841e-06
178.05096,C01586,M-H [1-],3.59999999943739e-05
151.02616,C00385,M-H [1-],3.59999999943739e-05
133.01426,C00149,M-H [1-],3.59999999943739e-05
808.11823,C00024,M-H [1-],0.000293999999939842
243.02751,C02985,M-H [1-],1.39999999930751e-05
133.05064,CE0520,M-H [1-],8.99999997727718e-06
133.05064,C01801,M-H [1-],1.59999999880256e-05
128.03531,C01879,M-H [1-],1.39999999930751e-05
128.03531,C02238,M-H [1-],9.99999997475243e-07
128.03531,C04281,M-H [1-],1.39999999930751e-05
128.03531,C04282,M-H [1-],1.39999999930751e-05
402.01086,C00112,M-H [1-],6.40000000089458e-05
482.96114,C00075,M-H [1-],8.40000000152941e-05
229.01187,C01101,M-H [1-],5.40000000341934e-05
229.01187,C00231,M-H [1-],5.40000000341934e-05
229.01187,C03736,M-H [1-],5.40000000341934e-05
229.01187,C00117,M-H [1-],5.40000000341934e-05
229.01187,C00442,M-H [1-],4.00000001832268e-06
229.01187,C00620,M-H [1-],5.40000000341934e-05
229.01187,C00199,M-H [1-],5.40000000341934e-05
766.1079,C00010,M-H [1-],2.39999999394058e-05
481.97723,C00063,M-H [1-],5.99999998485146e-06
289.03301,C06222,M-H [1-],1.40000000214968e-05
289.03301,C00281,M-H [1-],2.99999999242573e-06
289.03301,C05382,M-H [1-],1.40000000214968e-05
