Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
,C01595,272,
,C00135,273,
,C01530,274,
,C00079,275,
,C00249,276,
,C00438,277,
,C00712,278,
,C00921,279,
,C02679,280,
,C05466,281,
,C01042,282,
